"","gyeongsang","seoul"
"613","비행기만 타고 돌아오면 저는 저는 불편할 것 같거든요","비행기만 타고 돌아오면 저는 저는 불편할 것 같거든요"
"614","비행기 자체가 제가 체격이 커서 그런지 몰라도 이코노미가 좁더라고요 되게","비행기 자체가 제가 체격이 커서 그런지 몰라도 이코노미가 좁더라고요 되게"
"615","넓은 데를 최대한 찾아서 하는데 그래서","넓은 데를 최대한 찾아서 하는데 그래서"
"616","저는 그거 그 상품만 만약에 저보고 궈 팔아서 판매를 권유를 한다면 저는","저는 그거 그 상품만 만약에 저보고 궈 팔아서 판매를 권유를 한다면 저는"
"617","거부하겠습니다 당연히","거부하겠습니다 당연히"
"618","혹시","혹시"
"619","국내에서는","국내에서는"
"620","추천하고 싶은 딱 그 여행지가 있을까요?","추천하고 싶은 딱 그 여행지가 있을까요?"
"621","음~ 저희 근교로 따지자면 저는 경주가 진짜 좋다고 생각해요.","음~ 저희 근교로 따지자면 저는 경주가 진짜 좋다고 생각해요."
"622","경주는","경주는"
"623","예를 어~ 아시다시피 어~ 신라 시대의 그~ 국보라고 해야 되나요?","예를 어~ 아시다시피 어~ 신라 시대의 그~ 국보라고 해야 되나요?"
"624","그런 분위기랑 또 경주의 약간 황리단길이라고","그런 분위기랑 또 경주의 약간 황리단길이라고"
"625","경리 서울에 있는 경리단길을 뭐 경주 지명과 그렇게 맞붙여서","경리 서울에 있는 경리단길을 뭐 경주 지명과 그렇게 맞붙여서"
"626","어~ 새로운 거리가 생긴 것 같은데 그 거리를 가면 또 경주 나름대로의 현대의 문물을 보여줘서","어~ 새로운 거리가 생긴 것 같은데 그 거리를 가면 또 경주 나름대로의 현대의 문물을 보여줘서"
"627","어~ 과거와 현대가 만나고 있는 장소?","어~ 과거와 현대가 만나고 있는 장소?"
"628","그런 느낌인 것 같아서 경주를 추천드리고요.","그런 느낌인 것 같아서 경주를 추천드리고요."
"629","경주는 특히","경주는 특히"
"630","보문 호수가 있는데 그때 벚꽃 필 때 가면","보문 호수가 있는데 그때 벚꽃 필 때 가면"
"631","벚꽃 필 때 가서","벚꽃 필 때 가서"
"632","그~ 앉아서 그냥 돗자리 깔고 앉아서 벚꽃을 맞다 보면","그~ 앉아서 그냥 돗자리 깔고 앉아서 벚꽃을 맞다 보면"
"633","아 이게 진짜 인생이구나라고 느낄 정도로","아 이게 진짜 인생이구나라고 느낄 정도로"
"634","느낄 정도로 좋은 여행지인 것 같애요 좋은 여행지인 것 같고요.","느낄 정도로 좋은 여행지인 것 같애요 좋은 여행지인 것 같고요."
"635","어~ 그러면 가신 여행지 중에서","어~ 그러면 가신 여행지 중에서"
"636","제일 독특했던 여행지는 어디가 있으세요?","제일 독특했던 여행지는 어디가 있으세요?"
"637","저는","저는"
"638","보통 여행을 가면","보통 여행을 가면"
"639","걍 정말 아예 쉬거나 아니면은 정말 아예 놀거나 둘 중 하나를 가서","그냥 정말 아예 쉬거나 아니면은 정말 아예 놀거나 둘 중 하나를 가서"
"640","독특하다고 하는 곳을 가본 적이 없어요.","독특하다고 하는 곳을 가본 적이 없어요."
"641","뭐 아니면 (()) 저는 보통 여행을 가면 만약에 예를 들어서 경주 같은 경우에는","뭐 아니면 (()) 저는 보통 여행을 가면 만약에 예를 들어서 경주 같은 경우에는"
"642","(()) 보문 단지에 가가지고 막 뭐 타고 놀고 아니면 &company-name1& 가고 아니면 &company-name2& 하고 막 이런 이런 식으로 노는 걸 좋아해서","(()) 보문 단지에 가가지고 막 뭐 타고 놀고 아니면 &company-name1& 가고 아니면 &company-name2& 하고 막 이런 이런 식으로 노는 걸 좋아해서"
"643","어~ 특이하다고 할만한 곳이 없어요 왜냐면 다 그냥 일반적인 곳이고","어~ 특이하다고 할만한 곳이 없어요 왜냐하면 다 그냥 일반적인 곳이고"
"644","(()) 어디 하면 뭐가 생각나듯이","(()) 어디 하면 뭐가 생각나듯이"
"645","뭐 용인하면 &company-name3&가 생각 (())","뭐 용인하면 &company-name3&가 생각 (())"
"646","그런 거라서 저는","그런 거라서 저는"
"647","뭐 (()) 특별한 곳이 없어요 근데 그쪽에서 말씀하신","뭐 (()) 특별한 곳이 없어요 근데 그쪽에서 말씀하신"
"648","인제 특별한 곳은 어떤 곳 같은 거예요 본인이 가셨던 곳 중에서는?","인제 특별한 곳은 어떤 곳 같은 거예요 본인이 가셨던 곳 중에서는?"
"649","음~ 저는 러시아 일주 여행을 한 적이 있어요.","음~ 저는 러시아 일주 여행을 한 적이 있어요."
"650","나름 특별하지 않나요? {laughing}","나름 특별하지 않나요? {laughing}"
"651","러시아 일주를 기차를 타고 했고요.","러시아 일주를 기차를 타고 했고요."
"652","횡단 열차를 타고 했고","횡단 열차를 타고 했고"
"653","거의 한 달간 약 한 달간 러시아에서 머물렀었는데요.","거의 한 달간 약 한 달간 러시아에서 머물렀었는데요."
"654","머무르면서 음~","머무르면서 음~"
"655","정말 이국적인 풍경들을 많이 만날 수 있었기 때문에 저한테는 그게 특별했던","정말 이국적인 풍경들을 많이 만날 수 있었기 때문에 저한테는 그게 특별했던"
"656","여행이었어요 여행이었고요.","여행이었어요 여행이었고요."
"657","음~ 그러면 앞으로 코로나가 끝나면 어떤 여행지에 가고 싶으신가요.","음~ 그러면 앞으로 코로나가 끝나면 어떤 여행지에 가고 싶으신가요."
"658","-저- 정확한 지명은 생각 안 나는데","-저- 정확한 지명은 생각 안 나는데"
"659","그~ 라오스였나?","그~ 라오스였나?"
"660","그 동남아 그쪽 부분에 엄청 이쁜 약간 계곡인데 그~","그 동남아 그쪽 부분에 엄청 이쁜 약간 계곡인데 그~"
"661","블루라군인가요?","블루라군인가요?"
"662","맞을 거예요 아마 아 (()) 그기 그기랑 그거랑 또 뭐지?","맞을 거예요 아마 아 (()) 거기 거기랑 그거랑 또 뭐지?"
"663","이름이 또 기억이 안 나는데 계곡 위에서","이름이 또 기억이 안 나는데 계곡 위에서"
"664","이~ 물을 타고 계속 내려오는 그 체험이 있더라고 -익스- 익스트림 스포츠 같은 그런 건데","이~ 물을 타고 계속 내려오는 그 체험이 있더라고 -익스- 익스트림 스포츠 같은 그런 건데"
"665","(())","(())"
"666","하이튼 그것도 한 번 더 해보고 싶고 보라카이에서 해봤긴 했는데","하여튼 그것도 한 번 더 해보고 싶고 보라카이에서 해봤긴 했는데"
"667","거기서 거기가 되게 이쁘고","거기서 거기가 되게 이쁘고"
"668","내려오는 코스도 괜찮고 그렇다고 하길래 직접 가보고 싶습니다.","내려오는 코스도 괜찮고 그렇다고 하길래 직접 가보고 싶습니다."
"669","네 제가 볼 때 코로나가 아마 내년까지 쭉쭉","네 제가 볼 때 코로나가 아마 내년까지 쭉쭉"
"670","장수할 것 같애요.","장수할 것 같애요."
"671","그래서 기회만 된다면 바로 뛰쳐 나가고 싶습니다.","그래서 기회만 된다면 바로 뛰쳐 나가고 싶습니다."
"672","만약에 가시게 되면 코로나 끝나서 가시게 되면","만약에 가시게 되면 코로나 끝나서 가시게 되면"
"673","저희 또래들 있잖아요?","저희 또래들 있잖아요?"
"674","저희 또래들에게 추천해주고 싶은 여행지가 있을까요?","저희 또래들에게 추천해주고 싶은 여행지가 있을까요?"
"675","저는 그이까 베트남이요.","저는 그러니까 베트남이요."
"676","왜냐하면","왜냐하면"
"677","저희 또래 같은 경우에는 그렇게 여행에 많은 돈을 쓸 수 있는","저희 또래 같은 경우에는 그렇게 여행에 많은 돈을 쓸 수 있는"
"678","쓸 수가 없잖아요 쓸 수가 없는데 베트남 같은 경우에는 기초 물가가 정말","쓸 수가 없잖아요 쓸 수가 없는데 베트남 같은 경우에는 기초 물가가 정말"
"679","싸다 보니까 한국에서","싸다 보니까 한국에서"
"680","일박 이 일 할 거를 베트남 가면은 한 이 박 삼 일","일박 이 일 할 거를 베트남 가면은 한 이 박 삼 일"
"681","펑펑 쓰고 놀아도 괜찮을 정도로","펑펑 쓰고 놀아도 괜찮을 정도로"
"682","어~ 그렇게 물가가 정말 싸서 괜찮고요.","어~ 그렇게 물가가 정말 싸서 괜찮고요."
"683","부자 체험을 하고 올 수 있다고 해야 되나요 그리고 베트남 가면 대부분 뭐~","부자 체험을 하고 올 수 있다고 해야 되나요 그리고 베트남 가면 대부분 뭐~"
"684","하노이나 아니면","하노이나 아니면"
"685","호치민","호치민"
"686","최근에는 뭐 다낭 같은 곳이 뜨기도 했는데","최근에는 뭐 다낭 같은 곳이 뜨기도 했는데"
"687","베트남이 작은 작은 도시가 정말 볼 게 많거든요.","베트남이 작은 작은 도시가 정말 볼 게 많거든요."
"688","저는 베트남도 일주를 하고 왔었는데","저는 베트남도 일주를 하고 왔었는데"
"689","베트남에는 사파라는 고산 정말 높은 고산 지대가 있어서","베트남에는 사파라는 고산 정말 높은 고산 지대가 있어서"
"690","거기 가면 약간 네팔 온 느낌도 받을 수 있고요.","거기 가면 약간 네팔 온 느낌도 받을 수 있고요."
"691","베트남이 더운 나라라는 인식도 완전히 깨져 버려요 거기는 쌀쌀하거든요 쌀쌀하고","베트남이 더운 나라라는 인식도 완전히 깨져 버려요 거기는 쌀쌀하거든요 쌀쌀하고"
"692","그리고 푸꾸옥이라는 베트남 안에서도 휴양 도시가 있는데","그리고 푸꾸옥이라는 베트남 안에서도 휴양 도시가 있는데"
"693","거기 휴양 도시는 제 친구가 말하기를 아 이게 바로 돈으로 살 수 있는 천국이구나","거기 휴양 도시는 제 친구가 말하기를 아 이게 바로 돈으로 살 수 있는 천국이구나"
"694","할 정도로","할 정도로"
"695","어~ 휴양 시설이 정말 정말 잘 돼 있어요 그리고 리조트 값도","어~ 휴양 시설이 정말 정말 잘 돼 있어요 그리고 리조트 값도"
"696","어~ 삼 박에 십만 원?","어~ 삼 박에 십만 원?"
"697","정도면 정말","정도면 정말"
"698","고급 리조트도 갈 수 있어서","고급 리조트도 갈 수 있어서"
"699","말 그대로 휴식을 위한 곳이 어~","말 그대로 휴식을 위한 곳이 어~"
"700","놀 수도 있고 새로운","놀 수도 있고 새로운"
"701","새로운 환경을 볼 수 있고 또 휴식도 할 수 있는 곳이","새로운 환경을 볼 수 있고 또 휴식도 할 수 있는 곳이"
"702","베트남이라고 생각돼서","베트남이라고 생각돼서"
"703","저희 또래들한테 베트남을 추천하고 싶습니다.","저희 또래들한테 베트남을 추천하고 싶습니다."
"704","그렇다면","그렇다면"
"705","어~ 저희 또래들한테 추천하고 싶은 여행지가 있으신가요.","어~ 저희 또래들한테 추천하고 싶은 여행지가 있으신가요."
"706","음~ 저는 안 가봤지만","음~ 저는 안 가봤지만"
"707","네.","네."
"708","안 가봤지만","안 가봤지만"
"709","그 불가사의들 있잖아요.","그 불가사의들 있잖아요."
"710","그거를 한번","그거를 한번"
"711","세계 여행하면서 한번 돌아가는 걸 추천해보고 싶어요.","세계 여행하면서 한번 돌아가는 걸 추천해보고 싶어요."
"712","만약에 물론 기회가 되면 저도 해보고 싶고","만약에 물론 기회가 되면 저도 해보고 싶고"
"713","추천하고 싶은데","추천하고 싶은데"
"714","정말 그쪽에 대해서 관심이 많거든요 영상도 찾아보고","정말 그쪽에 대해서 관심이 많거든요 영상도 찾아보고"
"715","그 불가사의가","그 불가사의가"
"716","어떻게 만든 것도 궁금하고 실제로 보면 엄청나대요 되게 그래서 실제로 보고 싶기도 하고","어떻게 만든 것도 궁금하고 실제로 보면 엄청나대요 되게 그래서 실제로 보고 싶기도 하고"
"717","(()) 전 추천한다면 아마 그쪽을 추천하지 않을까","(()) 전 추천한다면 아마 그쪽을 추천하지 않을까"
"718","아니면 제가 -실- 실제로 겪어본 걸 추천하면 저는 당연히","아니면 제가 -실- 실제로 겪어본 걸 추천하면 저는 당연히"
"719","활동적인 걸 좋아해서 익스트림 스포츠 같은 걸 추천하는데","활동적인 걸 좋아해서 익스트림 스포츠 같은 걸 추천하는데"
"720","지금 같은 경우에는 제가","지금 같은 경우에는 제가"
"721","좀 위치가 기억 안 나는데","좀 위치가 기억 안 나는데"
"722","루지라고 있어요.","루지라고 있어요."
"723","산 위에서","산 위에서"
"724","(())","(())"
"725","루지요?","루지요?"
"726","네 루지요.","네 루지요."
"727","무동력으로 내려오는 게 있거든요 근데 속도가 빨라요 되게","무동력으로 내려오는 게 있거든요 근데 속도가 빨라요 되게"
"728","그냥 약간 카트라고 생각하면 되는데","그냥 약간 카트라고 생각하면 되는데"
"729","약간 이 정도로 누워서 타는 건데","약간 이 정도로 누워서 타는 건데"
"730","그것도 되게 재밌어요 나중에 친구들이랑 가보셔도 재밌을 것 같애요.","그것도 되게 재밌어요 나중에 친구들이랑 가보셔도 재밌을 것 같애요."
